class,Attr6855,Attr2354,Attr4847,Attr1834,Attr1882
1,0,1,-1,0,-1
1,0,0,-1,-1,0
1,-1,1,-1,0,-1
1,1,1,0,0,-1
1,0,0,0,0,-1
1,0,0,-1,-1,0
1,0,0,-1,-1,-1
1,1,0,-1,0,-1
1,0,1,-1,-1,-1
1,-1,0,-1,-1,0
1,-1,1,-1,-1,-1
1,-1,0,0,0,-1
1,1,1,0,-1,-1
1,0,0,-1,-1,0
1,1,1,0,-1,-1
1,1,0,0,-1,-1
1,0,0,0,-1,-1
1,0,-1,-1,-1,-1
1,0,0,0,-1,-1
1,1,1,-1,-1,-1
1,1,-1,-1,0,-1
1,-1,0,-1,0,-1
1,0,0,-1,-1,0
1,1,0,-1,-1,-1
1,-1,-1,0,0,-1
1,1,1,-1,-1,-1
1,0,0,-1,-1,-1
-1,-1,-1,0,0,0
-1,-1,-1,1,0,1
-1,-1,-1,1,1,1
-1,-1,-1,0,1,1
-1,-1,-1,1,1,1
-1,-1,-1,1,0,0
-1,-1,-1,1,1,0
-1,-1,-1,0,1,0
-1,-1,-1,1,1,1
-1,-1,-1,1,0,1
-1,-1,-1,0,0,0
1,1,0,-1,0,-1
1,0,-1,-1,0,-1
1,1,1,-1,-1,-1
1,1,1,-1,-1,-1
1,1,0,-1,-1,-1
1,1,1,-1,0,0
1,0,1,-1,0,-1
1,0,1,-1,-1,-1
1,0,-1,-1,0,-1
1,1,1,0,-1,-1
1,1,0,-1,0,0
-1,-1,-1,1,1,1
-1,-1,-1,1,1,0
-1,-1,-1,0,1,1
-1,-1,-1,1,1,1
-1,-1,-1,1,0,1
1,0,0,0,0,0
1,0,0,-1,0,0
-1,-1,-1,1,1,0
-1,-1,-1,1,1,1
1,0,1,-1,0,-1
-1,-1,-1,0,0,0
-1,-1,-1,1,0,-1
-1,-1,-1,1,1,1
-1,-1,-1,1,1,1
-1,-1,-1,1,1,0
-1,-1,-1,1,0,1
-1,-1,-1,0,0,0
1,0,0,1,0,0
1,1,1,0,-1,-1
1,1,1,-1,-1,-1
1,0,0,-1,0,0
1,0,-1,0,-1,-1
1,0,0,-1,0,0
