normal,gene14,gene1917,gene377,gene765,gene841
1,-1.53192,0.53002,0.396329,0.349957,0.117787
-1,0.404811,1.13252,1.68741,1.55094,-0.304669
1,-1.70035,0.967687,0.697607,-0.085503,-0.317325
-1,-0.55931,1.56388,0.868489,1.03575,-1.38112
1,0.486905,-0.422701,-1.19735,0.465046,0.101216
-1,1.93079,-0.349665,0.685269,2.0169,-0.405644
1,-0.976049,0.479983,-0.204359,-0.543412,-0.692239
-1,1.15644,1.39596,1.20423,1.88703,-1.76412
1,-0.588374,-1.13047,-1.08521,0.006184,-2.15251
-1,1.38068,0.00593,0.73714,1.86499,0.944801
1,-1.3067,-1.18073,0.043436,-0.58444,1.44681
-1,1.02923,1.16443,0.424935,1.92245,-1.04612
1,0.684712,0.039428,0.265867,0.640185,-0.840731
-1,1.01476,0.049608,1.04822,1.7931,-1.4068
1,-0.178935,0.043344,-0.720749,0.478516,-0.58465
-1,-0.101042,-0.129948,0.435586,0.379343,-1.58673
1,-0.633022,0.383361,0.608344,-0.311375,-0.239024
-1,1.02874,-0.167978,2.79307,0.505664,-1.60027
1,0.255625,-0.74247,-0.86651,-0.518572,-2.11258
-1,2.08865,-0.411039,1.24517,1.84852,0.401988
1,-1.84593,-0.280699,0.206886,-0.654079,0.497809
-1,-0.660579,0.453765,0.480019,1.27248,0.697164
1,0.217414,-0.328554,-1.06196,-0.554355,0.811029
-1,1.83464,0.727258,2.32254,0.65299,0.770656
1,0.262912,0.066443,-0.922103,-0.69135,-0.83707
1,-1.41239,-0.293392,-0.668042,-0.896282,0.732139
1,-1.1616,-1.02184,-0.708878,-0.066362,0.62531
1,-0.399909,0.001639,-0.951402,-0.816295,-0.074831
1,-1.74159,0.215288,-0.788323,-0.783134,0.880796
1,-1.20655,-0.790649,-0.407664,-0.369369,-0.214051
1,-0.527436,0.088124,-1.05026,0.021763,0.300626
1,-0.140789,-1.15092,-0.692001,0.16038,0.592372
1,0.468599,-1.7402,-0.612216,0.041811,0.795654
1,0.105281,-0.602249,-0.967186,-1.0495,-0.02109
1,-0.750862,-0.726568,-0.686497,0.081342,-0.226896
1,0.063377,-1.65631,-1.65309,-0.819163,0.283383
1,-2.31952,0.463572,-0.659746,-0.832429,-0.958012
1,0.071696,-0.697529,-1.6452,-0.091932,0.555335
-1,0.760898,0.783044,1.39393,1.33909,0.110798
1,-0.142293,-0.105441,-0.347112,-2.1303,1.2479
1,-0.232203,0.879838,-0.970712,-0.800751,-0.280262
-1,1.31337,0.285083,1.48753,0.109645,-1.16641
-1,1.04868,1.47743,0.923745,0.953207,1.33173
1,0.08924,-1.77506,-0.600602,-0.853935,0.722418
1,0.026216,0.301769,-0.09786,-0.01211,0.718137
1,0.660668,-0.935249,-0.61041,-0.898644,1.26555
1,-0.261051,-1.03706,-1.84239,-1.31511,0.395047
-1,0.731312,1.20801,1.19715,-0.406948,0.955901
1,0.061964,0.768901,0.70518,0.135997,1.13619
-1,1.06366,1.58199,-0.193367,0.939973,-1.51729
-1,-0.015205,-3.12738,-0.137593,-1.27574,1.40817
1,0.954973,-0.997469,-0.761555,-0.477421,0.80956
1,0.156209,0.295722,-0.552491,-0.504203,0.49203
-1,1.39249,1.90586,0.114126,0.888538,1.10359
-1,-0.769534,0.396271,-0.164317,-1.92326,0.459022
1,1.12447,0.662972,0.749598,0.965813,0.147986
1,-0.324529,-0.141406,-0.75391,-0.842043,-2.78492
1,-1.39987,1.06678,0.001145,-1.30552,-0.801316
1,-0.229063,0.500274,-0.507101,-0.830158,0.133534
-1,-0.118578,1.18144,2.21181,0.056917,1.03779
1,-1.33116,-2.18534,-0.212275,-1.61317,0.709645
-1,0.696933,1.06067,0.365677,0.492348,0.576813
